dataset,model,condition,seed,n_samples,n_input_features,class_0,class_1,maximum_step,hidden_layers,dropout,learning_rate,weight_decay,batch_size,max_epochs,train_seconds,n_parameters,n_sparse_connections,n_connection_layers,connection_layer_sizes,partition_shapes,partition_nonzeros,target_features,target_signal_score_mean,target_signal_score_median,target_signal_score_max,notebook_reference,n_original_targets,n_targets,n_replaced_targets,target_overlap_with_original,graph_edges,graph_nodes,train_loss,train_accuracy,train_balanced_accuracy,train_roc_auc,val_loss,val_accuracy,val_balanced_accuracy,val_roc_auc,test_loss,test_accuracy,test_balanced_accuracy,test_roc_auc,run_status,run_error
covid,PathNet,original,2781,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,55.02790854894556,4666458,2559,4,913|99|40|10,"{""p2"": [913, 99], ""p3"": [99, 40], ""p4"": [40, 10]}","{""p2"": 118, ""p3"": 77, ""p4"": 33}",C00328|C00186|C00584|C02165|C00696|C01089|C00042|C06124|C00249|C00780,0.16444244254380463,0.1732368841767311,0.35759755969047546,example_meta.ipynb,10,10,0,10,841,913,0.33515922530837683,0.9807162534435262,0.9778694793193551,0.9719584475176855,0.56993018835783,0.7355371900826446,0.7139160437032778,0.7576193214491087,0.5893953889608383,0.71900826446281,0.6965209890741806,0.7215353651523865,ok,
covid,PathNet,random_centric,2781,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,56.93161315203179,4486318,2442,4,913|53|21|10,"{""p2"": [913, 53], ""p3"": [53, 21], ""p4"": [21, 10]}","{""p2"": 55, ""p3"": 45, ""p4"": 11}",C02362|C12834|C07712|C00292|C14865|C00475|C06426|C14825|C00214|C01571,0.12858401760458946,0.12519314885139465,0.1893356740474701,example_meta.ipynb,10,10,10,0,841,913,0.4449136062808659,0.8815426997245179,0.8687304824421643,0.874992033649863,0.6549453474581242,0.6446280991735537,0.6085393904542841,0.6736630247268546,0.6937113255262375,0.6115702479338843,0.5543415756181713,0.6183151236342727,ok,
covid,PathNet,low_signal_centric,2781,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,42.45637693698518,4438550,2401,4,913|40|25|10,"{""p2"": [913, 40], ""p3"": [40, 25], ""p4"": [25, 10]}","{""p2"": 34, ""p3"": 19, ""p4"": 17}",C00341|C00643|C16561|C00121|C00181|C00259|C00310|C00312|C05480|C13712,0.002476791548542678,0.002815935527905822,0.002901227679103613,example_meta.ipynb,10,10,10,0,841,913,0.43633844541466754,0.8898071625344353,0.8830699126888024,0.8846791154164808,0.6177811250090599,0.7024793388429752,0.6946520989074181,0.7788959171937896,0.7320739924907684,0.5702479338842975,0.5438470385278896,0.5764807360552041,ok,
covid,PathNet,mixed25_low_signal_centric,2781,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,27.02127671299968,4600918,2511,4,913|82|38|10,"{""p2"": [913, 82], ""p3"": [82, 38], ""p4"": [38, 10]}","{""p2"": 87, ""p3"": 62, ""p4"": 31}",C06124|C00249|C00696|C00186|C00584|C02165|C00042|C01089|C00341|C00643,0.10861645916011184,0.10535607114434242,0.2545113265514374,example_meta.ipynb,10,10,2,8,841,913,0.33046231062515924,0.9834710743801653,0.9839079727232172,0.9757344974826334,0.5510473921895027,0.768595041322314,0.7525876940770557,0.7747268545140886,0.6181131266057491,0.6859504132231405,0.6617308798159862,0.6752443933294997,ok,
covid,PathNet,mixed50_low_signal_centric,2781,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,59.12336231407244,4607022,2514,4,913|84|34|10,"{""p2"": [913, 84], ""p3"": [84, 34], ""p4"": [34, 10]}","{""p2"": 98, ""p3"": 59, ""p4"": 26}",C00584|C01089|C00328|C00696|C02165|C00341|C00643|C16561|C00121|C00181,0.08725561541505159,0.05923058639746159,0.2032131552696228,example_meta.ipynb,10,10,5,5,841,913,0.3734148585278055,0.9449035812672176,0.9371295647186285,0.917022496972787,0.5743662044405937,0.7024793388429752,0.6946520989074181,0.7613571017826337,0.6470837816596031,0.6694214876033058,0.644335825186889,0.6587119033927544,ok,
covid,PathNet,mixed75_low_signal_centric,2781,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,59.33497731096577,4468798,2424,4,913|48|26|10,"{""p2"": [913, 48], ""p3"": [48, 26], ""p4"": [26, 10]}","{""p2"": 48, ""p3"": 27, ""p4"": 18}",C00186|C00584|C00341|C00643|C16561|C00121|C00181|C00259|C00310|C00312,0.031073870486579835,0.002815935527905822,0.19670633971691132,example_meta.ipynb,10,10,8,2,841,913,0.404829327179038,0.9146005509641874,0.9097253202472755,0.8883914345803328,0.5523008666932583,0.7603305785123967,0.7264232317423807,0.8238930419781483,0.6211963072419167,0.6942148760330579,0.6646060954571593,0.6970960322024152,ok,
covid,PathNet,random_graph,2781,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,50.896222803974524,4552390,2458,4,913|70|29|10,"{""p2"": [913, 70], ""p3"": [70, 29], ""p4"": [29, 10]}","{""p2"": 66, ""p3"": 42, ""p4"": 19}",C00328|C00186|C00584|C02165|C00696|C01089|C00042|C06124|C00249|C00780,0.16444244254380463,0.1732368841767311,0.35759755969047546,example_meta.ipynb,10,10,0,10,841,913,0.3947979626448258,0.9228650137741047,0.9102192339557709,0.8992734688675037,0.6018201038241386,0.7024793388429752,0.6752443933294997,0.7596319723979299,0.6643252968788147,0.6446280991735537,0.6085393904542841,0.6349913743530764,ok,
covid,PathNet,random_layer_matched,2781,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,56.563771193963476,4666458,2559,4,913|99|40|10,"{""p2"": [913, 99], ""p3"": [99, 40], ""p4"": [40, 10]}","{""p2"": 118, ""p3"": 77, ""p4"": 33}",C00328|C00186|C00584|C02165|C00696|C01089|C00042|C06124|C00249|C00780,0.16444244254380463,0.1732368841767311,0.35759755969047546,example_meta.ipynb,10,10,0,10,841,913,0.3323978911275449,0.9834710743801653,0.9801319227582691,0.9730737365368685,0.5519593544304371,0.7520661157024794,0.731311098332375,0.7771707878090857,0.6239929385483265,0.6859504132231405,0.6423231742380678,0.7004025301897643,ok,
covid,PathNet,partial_outer_layer_random,2781,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,49.81454647902865,4666458,2559,4,913|99|40|10,"{""p2"": [913, 99], ""p3"": [99, 40], ""p4"": [40, 10]}","{""p2"": 118, ""p3"": 77, ""p4"": 33}",C00328|C00186|C00584|C02165|C00696|C01089|C00042|C06124|C00249|C00780,0.16444244254380463,0.1732368841767311,0.35759755969047546,example_meta.ipynb,10,10,0,10,841,913,0.3548383337000142,0.9586776859504132,0.9635459817729909,0.9497960614364922,0.6270864307880402,0.6859504132231405,0.6772570442783209,0.7189476710753306,0.683242529630661,0.6198347107438017,0.6037952846463485,0.69551466359977,ok,
covid,PathNet,original,14526,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,43.34665687091183,4666458,2559,4,913|99|40|10,"{""p2"": [913, 99], ""p3"": [99, 40], ""p4"": [40, 10]}","{""p2"": 118, ""p3"": 77, ""p4"": 33}",C00328|C00186|C00584|C02165|C00696|C01089|C00042|C06124|C00249|C00780,0.135210325056687,0.11846715956926346,0.33555012941360474,example_meta.ipynb,10,10,0,10,841,913,0.3316427274890568,0.9834710743801653,0.9826492894015678,0.9745554776623542,0.6353508606553078,0.6694214876033058,0.644335825186889,0.6993962047153537,0.6426826789975166,0.6363636363636364,0.6367165037377803,0.6765382403680277,ok,
covid,PathNet,random_centric,14526,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,57.5397615279071,4502870,2453,4,913|57|27|10,"{""p2"": [913, 57], ""p3"": [57, 27], ""p4"": [27, 10]}","{""p2"": 75, ""p3"": 30, ""p4"": 17}",C00270|C01879|C00546|C05594|C11004|C03090|C00530|C04722|C05843|C11132,0.17985165305435658,0.17354927957057953,0.37101271748542786,example_meta.ipynb,10,10,10,0,841,913,0.3904325702916021,0.9366391184573003,0.9303422344018865,0.9088330890319293,0.675055593252182,0.6198347107438017,0.5882691201840138,0.6748131109833237,0.6687121540307999,0.628099173553719,0.6260782058654399,0.6786946520989074,ok,
covid,PathNet,low_signal_centric,14526,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,40.678220905014314,4575342,2479,4,913|76|30|10,"{""p2"": [913, 76], ""p3"": [76, 30], ""p4"": [30, 10]}","{""p2"": 78, ""p3"": 50, ""p4"": 20}",C00906|C01598|C00280|C20252|C05108|C08821|C11522|C15776|C15782|C05356,0.0019045266089960933,0.002149546053260565,0.0022806734777987003,example_meta.ipynb,10,10,10,0,841,913,0.5420832672844762,0.7823691460055097,0.7646262188515709,0.8072780574851827,0.6394859105348587,0.6694214876033058,0.6482173663024726,0.651811385853939,0.6351829618215561,0.6611570247933884,0.6492236917768832,0.6811385853939046,ok,
covid,PathNet,mixed25_low_signal_centric,14526,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,57.69895562203601,4662646,2562,4,913|98|40|10,"{""p2"": [913, 98], ""p3"": [98, 40], ""p4"": [40, 10]}","{""p2"": 123, ""p3"": 75, ""p4"": 33}",C00584|C00042|C06124|C02165|C01089|C00328|C00249|C00696|C00906|C01598,0.08282646441366523,0.10423843935132027,0.1893342137336731,example_meta.ipynb,10,10,2,8,841,913,0.35729580858479376,0.9586776859504132,0.9572525651647441,0.9429450003186539,0.665274053812027,0.6363636363636364,0.605664174813111,0.6591431857389305,0.599488478153944,0.6942148760330579,0.6723691776883267,0.757044278320874,ok,
covid,PathNet,mixed50_low_signal_centric,14526,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,55.31780461396556,4596022,2506,4,913|81|35|10,"{""p2"": [913, 81], ""p3"": [81, 35], ""p4"": [35, 10]}","{""p2"": 96, ""p3"": 51, ""p4"": 28}",C00584|C01089|C00780|C00696|C00249|C00906|C01598|C00280|C20252|C05108,0.0850276647368446,0.05093870381824672,0.33555012941360474,example_meta.ipynb,10,10,5,5,841,913,0.38109569964201556,0.9504132231404959,0.946689184883054,0.9291154164807851,0.6794724985957146,0.6115702479338843,0.6009200690051755,0.6845888441633122,0.6626110449433327,0.6363636363636364,0.628953421506613,0.6700690051753881,ok,
covid,PathNet,mixed75_low_signal_centric,14526,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,54.148012734018266,4580158,2504,4,913|77|33|10,"{""p2"": [913, 77], ""p3"": [77, 33], ""p4"": [33, 10]}","{""p2"": 97, ""p3"": 52, ""p4"": 24}",C00584|C00328|C00906|C01598|C00280|C20252|C05108|C08821|C11522|C15776,0.02515493656974286,0.002149546053260565,0.12818530201911926,example_meta.ipynb,10,10,8,2,841,913,0.3456809481848841,0.9724517906336089,0.967306099037665,0.9588299024918743,0.6556011065840721,0.6363636363636364,0.6017826336975274,0.7060092006900517,0.6711695715785027,0.628099173553719,0.6066705002875216,0.6506612995974699,ok,
covid,PathNet,random_graph,14526,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,40.790863694041036,4518762,2435,4,913|61|30|10,"{""p2"": [913, 61], ""p3"": [61, 30], ""p4"": [30, 10]}","{""p2"": 53, ""p3"": 31, ""p4"": 20}",C00328|C00186|C00584|C02165|C00696|C01089|C00042|C06124|C00249|C00780,0.135210325056687,0.11846715956926346,0.33555012941360474,example_meta.ipynb,10,10,0,10,841,913,0.3666756464087445,0.9559228650137741,0.951214071760882,0.9417500477981008,0.6029389835894108,0.6942148760330579,0.6646060954571593,0.766244968372628,0.5901728272438049,0.6942148760330579,0.6762507188039103,0.7573317998849914,ok,
covid,PathNet,random_layer_matched,14526,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,51.63874801900238,4666458,2559,4,913|99|40|10,"{""p2"": [913, 99], ""p3"": [99, 40], ""p4"": [40, 10]}","{""p2"": 118, ""p3"": 77, ""p4"": 33}",C00328|C00186|C00584|C02165|C00696|C01089|C00042|C06124|C00249|C00780,0.135210325056687,0.11846715956926346,0.33555012941360474,example_meta.ipynb,10,10,0,10,841,913,0.3655465348907139,0.9476584022038568,0.9507201580523867,0.9347396596775222,0.625763364136219,0.6776859504132231,0.647211040828062,0.7047153536515239,0.6175923123955727,0.6859504132231405,0.6772570442783209,0.7538815411155838,ok,
covid,PathNet,partial_outer_layer_random,14526,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,58.576562014990486,4666458,2559,4,913|99|40|10,"{""p2"": [913, 99], ""p3"": [99, 40], ""p4"": [40, 10]}","{""p2"": 118, ""p3"": 77, ""p4"": 33}",C00328|C00186|C00584|C02165|C00696|C01089|C00042|C06124|C00249|C00780,0.135210325056687,0.11846715956926346,0.33555012941360474,example_meta.ipynb,10,10,0,10,841,913,0.3331101031407066,0.9807162534435262,0.9791281626410044,0.9746510738639985,0.6184211522340775,0.6776859504132231,0.6433294997124784,0.7359114433582519,0.6354585438966751,0.6363636363636364,0.6250718803910293,0.6936457734330075,ok,
covid,PathNet,original,2027,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,35.83717406797223,4666458,2559,4,913|99|40|10,"{""p2"": [913, 99], ""p3"": [99, 40], ""p4"": [40, 10]}","{""p2"": 118, ""p3"": 77, ""p4"": 33}",C00328|C00186|C00584|C02165|C00696|C01089|C00042|C06124|C00249|C00780,0.16756488755345345,0.18802201747894287,0.32380709052085876,example_meta.ipynb,10,10,0,10,841,913,0.3373879984669063,0.977961432506887,0.9768657192020904,0.9761009495889363,0.6287660747766495,0.6611570247933884,0.6453421506612996,0.6907705577918344,0.5237179733812809,0.768595041322314,0.7758769407705577,0.8080793559516963,ok,
covid,PathNet,random_centric,2027,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,38.41166451293975,4583238,2492,4,913|78|31|10,"{""p2"": [913, 78], ""p3"": [78, 31], ""p4"": [31, 10]}","{""p2"": 80, ""p3"": 59, ""p4"": 22}",C05842|C11945|C18044|C16681|C01165|C00099|C16632|C06611|C05285|C00750,0.14448131173849105,0.17263154685497284,0.2653334140777588,example_meta.ipynb,10,10,10,0,841,913,0.4844520649184351,0.8429752066115702,0.8118826078643808,0.8082340195016252,0.6864782199263573,0.6115702479338843,0.5737492811960897,0.5713053479010927,0.629395417869091,0.6528925619834711,0.6152961472110408,0.6506612995974698,ok,
covid,PathNet,low_signal_centric,2027,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,33.703326057991944,4542010,2470,4,913|67|32|10,"{""p2"": [913, 67], ""p3"": [67, 32], ""p4"": [32, 10]}","{""p2"": 80, ""p3"": 36, ""p4"": 23}",C00084|C06548|C05947|C16615|C04874|C04712|C00059|C00123|C00407|C16647,0.0026654308196157215,0.0028579706558957696,0.004176932852715254,example_meta.ipynb,10,10,10,0,841,913,0.3650971884312837,0.953168044077135,0.9451755783570199,0.9413995283920719,0.6222837418317795,0.6611570247933884,0.6492236917768832,0.7052903967797585,0.6813947483897209,0.6198347107438017,0.5999137435307648,0.647211040828062,ok,
covid,PathNet,mixed25_low_signal_centric,2027,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,60.53489773790352,4740422,2591,4,913|118|43|10,"{""p2"": [913, 118], ""p3"": [118, 43], ""p4"": [43, 10]}","{""p2"": 131, ""p3"": 93, ""p4"": 36}",C00584|C00249|C00042|C00696|C06124|C01089|C02165|C00328|C00084|C06548,0.11716127092950046,0.1268099881708622,0.21938778460025787,example_meta.ipynb,10,10,2,8,841,913,0.3343586714371391,0.9807162534435262,0.9816455292843032,0.9727869479319355,0.5967493839561939,0.6942148760330579,0.6878953421506613,0.7488499137435307,0.5943905562162399,0.6611570247933884,0.6569867740080506,0.7446808510638299,ok,
covid,PathNet,mixed50_low_signal_centric,2027,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,54.820693614077754,4690250,2565,4,913|105|42|10,"{""p2"": [913, 105], ""p3"": [105, 42], ""p4"": [42, 10]}","{""p2"": 125, ""p3"": 77, ""p4"": 32}",C00042|C00584|C00249|C00186|C00780|C00084|C06548|C05947|C16615|C04874,0.09627145740669221,0.01928761973977089,0.32380709052085876,example_meta.ipynb,10,10,5,5,841,913,0.34575534903484845,0.9696969696969697,0.9675610222420495,0.961665923140654,0.6448630914092064,0.6363636363636364,0.628953421506613,0.6700690051753883,0.5861728452146053,0.7107438016528925,0.6975273145485912,0.7129097182288672,ok,
covid,PathNet,mixed75_low_signal_centric,2027,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,54.723925433005206,4569478,2492,4,913|74|35|10,"{""p2"": [913, 74], ""p3"": [74, 35], ""p4"": [35, 10]}","{""p2"": 93, ""p3"": 42, ""p4"": 26}",C00696|C02165|C00084|C06548|C05947|C16615|C04874|C04712|C00059|C00123,0.029248142847791314,0.0028579706558957696,0.1935712993144989,example_meta.ipynb,10,10,8,2,841,913,0.46231190665908484,0.8650137741046832,0.8463450385571347,0.8638710088585814,0.6111559867858887,0.6859504132231405,0.6617308798159862,0.7011213341000575,0.621440939605236,0.6694214876033058,0.621046578493387,0.6795572167912594,ok,
covid,PathNet,random_graph,2027,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,55.980647880001925,4510942,2432,4,913|59|29|10,"{""p2"": [913, 59], ""p3"": [59, 29], ""p4"": [29, 10]}","{""p2"": 52, ""p3"": 30, ""p4"": 19}",C00328|C00186|C00584|C02165|C00696|C01089|C00042|C06124|C00249|C00780,0.16756488755345345,0.18802201747894287,0.32380709052085876,example_meta.ipynb,10,10,0,10,841,913,0.44153065655542456,0.8842975206611571,0.8684755592377796,0.9093110700401503,0.6346871480345726,0.6446280991735537,0.6395917193789534,0.7136285221391604,0.6023734323680401,0.6942148760330579,0.6607245543415756,0.7124784358826912,ok,
covid,PathNet,random_layer_matched,2027,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,54.21493086707778,4666458,2559,4,913|99|40|10,"{""p2"": [913, 99], ""p3"": [99, 40], ""p4"": [40, 10]}","{""p2"": 118, ""p3"": 77, ""p4"": 33}",C00328|C00186|C00584|C02165|C00696|C01089|C00042|C06124|C00249|C00780,0.16756488755345345,0.18802201747894287,0.32380709052085876,example_meta.ipynb,10,10,0,10,841,913,0.3487537866053374,0.9669421487603306,0.9590051621948887,0.9426422790134472,0.645527508109808,0.628099173553719,0.6027889591719379,0.6680563542265671,0.5878648571670055,0.6942148760330579,0.6568430132259919,0.7084531339850489,ok,
covid,PathNet,partial_outer_layer_random,2027,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,46.70499853603542,4666458,2559,4,913|99|40|10,"{""p2"": [913, 99], ""p3"": [99, 40], ""p4"": [40, 10]}","{""p2"": 118, ""p3"": 77, ""p4"": 33}",C00328|C00186|C00584|C02165|C00696|C01089|C00042|C06124|C00249|C00780,0.16756488755345345,0.18802201747894287,0.32380709052085876,example_meta.ipynb,10,10,0,10,841,913,0.3340680664000304,0.9807162534435262,0.9791281626410044,0.9712892741061756,0.6029423922300339,0.6942148760330579,0.691776883266245,0.7203852788959172,0.6090643294155598,0.6694214876033058,0.6598619896492237,0.7491374353076481,ok,
covid,PathNet,original,3407,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,35.91785848408472,4666458,2559,4,913|99|40|10,"{""p2"": [913, 99], ""p3"": [99, 40], ""p4"": [40, 10]}","{""p2"": 118, ""p3"": 77, ""p4"": 33}",C00328|C00186|C00584|C02165|C00696|C01089|C00042|C06124|C00249|C00780,0.16855376288294793,0.17075124382972717,0.2756923735141754,example_meta.ipynb,10,10,0,10,841,913,0.3804499299629875,0.9338842975206612,0.9318558409279205,0.9071282901026066,0.5853538922965527,0.7272727272727273,0.707159286946521,0.8001725129384704,0.6007285639643669,0.6776859504132231,0.6588556641748131,0.732173663024727,ok,
covid,PathNet,random_centric,3407,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,26.645718598971143,4452262,2425,4,913|44|19|10,"{""p2"": [913, 44], ""p3"": [44, 19], ""p4"": [19, 10]}","{""p2"": 60, ""p3"": 25, ""p4"": 9}",C05598|C03028|C05587|C05565|C14775|C01183|C15974|C05502|C06429|C04322,0.12074157856404781,0.11125766858458519,0.3148181438446045,example_meta.ipynb,10,10,10,0,841,913,0.3735002357026805,0.9421487603305785,0.9348671212797145,0.9270123000446115,0.6538014933466911,0.6446280991735537,0.6007763082231167,0.6838700402530189,0.6491351872682571,0.6528925619834711,0.6269407705577918,0.6306785508913167,ok,
covid,PathNet,low_signal_centric,3407,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,50.34300094190985,4584878,2488,4,913|79|25|10,"{""p2"": [913, 79], ""p3"": [79, 25], ""p4"": [25, 10]}","{""p2"": 79, ""p3"": 59, ""p4"": 19}",C00535|C00674|C01227|C03772|C14864|C14865|C00555|C04814|C05444|C05454,0.0010261905554216355,0.0010904019000008702,0.00222994526848197,example_meta.ipynb,10,10,10,0,841,913,0.36698967477549677,0.9504132231404959,0.9479478682047033,0.9329870626473774,0.700116902589798,0.5785123966942148,0.5467222541690626,0.6249281196089707,0.656308688223362,0.6363636363636364,0.6211903392754456,0.6696377228292122,ok,
covid,PathNet,mixed25_low_signal_centric,3407,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,58.36717806302477,4594566,2507,4,913|81|31|10,"{""p2"": [913, 81], ""p3"": [81, 31], ""p4"": [31, 10]}","{""p2"": 96, ""p3"": 57, ""p4"": 23}",C00186|C02165|C00249|C00780|C00584|C01089|C06124|C00328|C00535|C00674,0.14956389985454735,0.17075124382972717,0.2756923735141754,example_meta.ipynb,10,10,2,8,841,913,0.36128025080846704,0.9586776859504132,0.9572525651647441,0.9337518322605315,0.6053043939173222,0.6694214876033058,0.644335825186889,0.7593444508338125,0.6562037542462349,0.6115702479338843,0.5853939045428407,0.6523864289821737,ok,
covid,PathNet,mixed50_low_signal_centric,3407,605,1174,236,369,2,none,0.1,0.001,0.0,16,200,60.87056696100626,4700294,2566,4,913|108|39|10,"{""p2"": [913, 108], ""p3"": [108, 39], ""p4"": [39, 10]}","{""p2"": 111, ""p3"": 91, ""p4"": 33}",C00249|C00186|C00780|C00042|C00328|C00535|C00674|C01227|C03772|C14864,0.10604372013476678,0.07478568429360166,0.2756923735141754,example_meta.ipynb,10,10,5,5,841,913,0.35120592946591583,0.9641873278236914,0.9605187687209228,0.9396787967624753,0.6365479752421379,0.6694214876033058,0.6365727429557216,0.6336975273145486,0.6953555196523666,0.6198347107438017,0.5727429557216791,0.6065267395054629,ok,
